,Province,Facilities Reporting,Admissions to Date,Died to Date,Discharged to date,Currently Admitted,Currently in ICU,Currently Ventilated,Currently Oxygenated,Admissions in Previous Day,Date,Eastern Cape,18,13219,3175,9918,55,8,5,5.1,0,Unnamed: 0,Unnamed: 1,Unnamed: 2,Currently Admitted 
115,,,,,,,,,,,2021/11/14,North West,13.0,10839.0,1607.0,8750.0,53.0,8.0,6.0,8.0,0.0,,,,
116,,,,,,,,,,,2021/11/14,Northern Cape,6.0,4716.0,794.0,3694.0,12.0,6.0,5.0,0.0,0.0,,,,
117,,,,,,,,,,,2021/11/14,Western Cape,44.0,32999.0,5691.0,26528.0,639.0,113.0,52.0,26.0,0.0,,,,
118,,,,,,,,,,,2021/11/14,Total,258.0,201076.0,37280.0,159430.0,2122.0,365.0,136.0,146.0,1.0,,,,
119,Eastern Cape,18,13224.0,3177.0,9921.0,55.0,7.0,4.0,7.0,0.0,2021/11/15,,,,,,,,,,,,,,
120,Free State,20,11976.0,2130.0,9624.0,52.0,15.0,7.0,8.0,0.0,2021/11/15,,,,,,,,,,,,,,
121,Gauteng,94,72687.0,13770.0,57390.0,929.0,143.0,33.0,51.0,2.0,2021/11/15,,,,,,,,,,,,,,
122,KwaZulu-Natal,47,37456.0,6883.0,29860.0,311.0,59.0,20.0,44.0,1.0,2021/11/15,,,,,,,,,,,,,,
123,Limpopo,7,7636.0,1639.0,5836.0,25.0,1.0,0.0,1.0,0.0,2021/11/15,,,,,,,,,,,,,,
124,Mpumalanga,9,9569.0,1593.0,7882.0,12.0,2.0,1.0,0.0,1.0,2021/11/15,,,,,,,,,,,,,,
125,North West,13,10840.0,1607.0,8751.0,53.0,8.0,6.0,8.0,0.0,2021/11/15,,,,,,,,,,,,,,
126,Northern Cape,6,4717.0,794.0,3696.0,11.0,6.0,5.0,0.0,0.0,2021/11/15,,,,,,,,,,,,,,
127,Western Cape,44,33006.0,5693.0,26532.0,640.0,111.0,51.0,26.0,2.0,2021/11/15,,,,,,,,,,,,,,
128,Total,258,201111.0,37286.0,159492.0,2088.0,352.0,127.0,145.0,6.0,2021/11/15,,,,,,,,,,,,,,
129,Eastern Cape,18.0,13231.0,3177.0,9924.0,59.0,6.0,3.0,8.0,4.0,2021/11/16,,,,,,,,,,,,,,
130,Free State,20.0,11980.0,2131.0,9627.0,52.0,13.0,9.0,2.0,2.0,2021/11/16,,,,,,,,,,,,,,
131,Gauteng,94.0,72711.0,13773.0,57407.0,935.0,140.0,32.0,51.0,5.0,2021/11/16,,,,,,,,,,,,,,
132,KwaZulu-Natal,47.0,37482.0,6886.0,29882.0,312.0,56.0,18.0,45.0,4.0,2021/11/16,,,,,,,,,,,,,,
133,Limpopo,7.0,7637.0,1639.0,5837.0,25.0,1.0,0.0,1.0,0.0,2021/11/16,,,,,,,,,,,,,,
134,Mpumalanga,9.0,9570.0,1594.0,7882.0,12.0,3.0,1.0,0.0,0.0,2021/11/16,,,,,,,,,,,,,,
135,North West,13.0,10844.0,1607.0,8752.0,56.0,8.0,6.0,8.0,0.0,2021/11/16,,,,,,,,,,,,,,
136,Northern Cape,6.0,4719.0,794.0,3698.0,11.0,6.0,5.0,0.0,0.0,2021/11/16,,,,,,,,,,,,,,
137,Western Cape,44.0,33012.0,5694.0,26540.0,638.0,111.0,48.0,28.0,3.0,2021/11/16,,,,,,,,,,,,,,
138,Total,258.0,201186.0,37295.0,159549.0,2100.0,344.0,122.0,143.0,18.0,2021/11/16,,,,,,,,,,,,,,
139,Summary of reported COVID-19 admissions by hospital group,,,,,,,,,,2021/11/16,,,,,,,,,,,,,,
140,,18.0,13236.0,3176.0,9928.0,61.0,6.0,3.0,7.0,4.0,2021/11/17,,,,,,,,,,,Eastern Cape,,,
141,,20.0,11983.0,2131.0,9632.0,50.0,14.0,9.0,3.0,1.0,2021/11/17,,,,,,,,,,,Free State,,,
142,,94.0,72737.0,13773.0,57425.0,943.0,138.0,31.0,50.0,11.0,2021/11/17,,,,,,,,,,,Gauteng,,,
143,,47.0,37481.0,6896.0,29883.0,300.0,56.0,18.0,43.0,5.0,2021/11/17,,,,,,,,,,,KwaZulu-Natal,,,
144,,7.0,7638.0,1639.0,5838.0,25.0,1.0,0.0,1.0,1.0,2021/11/17,,,,,,,,,,,Limpopo,,,
145,,9.0,9571.0,1594.0,7884.0,11.0,3.0,1.0,0.0,0.0,2021/11/17,,,,,,,,,,,Mpumalanga,,,
146,,13.0,10846.0,1608.0,8754.0,55.0,8.0,5.0,8.0,3.0,2021/11/17,,,,,,,,,,,North West,,,
147,,6.0,4721.0,794.0,3701.0,10.0,6.0,5.0,0.0,2.0,2021/11/17,,,,,,,,,,,Northern Cape,,,
148,,258.0,201229.0,37306.0,159588.0,2093.0,341.0,119.0,139.0,27.0,2021/11/17,,,,,,,,,,,Total,,,
149,,,,,,,,,,,2021/11/17,,,,,,,,,,,,,,
150,,,,,,,,,,,2021/11/17,,,,,,,,,,,Summary of reported COVID-19 admissions by hospital group,,,
151,,18,13238.0,3178.0,9934.0,57.0,,,7.0,3.0,2021/11/18,,,,,,,,,,,Eastern Cape,6.0,1.0,
152,,20,11984.0,2132.0,9640.0,45.0,,,14.0,9.0,2021/11/18,,,,,,,,,,,Free State,4.0,0.0,
153,,94,72695.0,13775.0,57517.0,881.0,,,134.0,32.0,2021/11/18,,,,,,,,,,,Gauteng,49.0,9.0,
154,,47,37479.0,6896.0,29893.0,295.0,,,57.0,18.0,2021/11/18,,,,,,,,,,,KwaZulu-Natal,44.0,1.0,
155,,7,7639.0,1639.0,5841.0,23.0,,,1.0,0.0,2021/11/18,,,,,,,,,,,Limpopo,1.0,0.0,
156,,9,9575.0,1594.0,7889.0,10.0,,,3.0,1.0,2021/11/18,,,,,,,,,,,Mpumalanga,0.0,0.0,
157,,13,10849.0,1609.0,8755.0,56.0,,,8.0,5.0,2021/11/18,,,,,,,,,,,North West,9.0,0.0,
158,,6,4721.0,794.0,3702.0,9.0,,,6.0,5.0,2021/11/18,,,,,,,,,,,Northern Cape,0.0,0.0,
159,,44,33021.0,5697.0,26562.0,627.0,,,107.0,46.0,2021/11/18,,,,,,,,,,,Western Cape,28.0,3.0,
160,,258,201201.0,37314.0,159733.0,2003.0,,,337.0,119.0,2021/11/18,,,,,,,,,,,Total,141.0,14.0,
161,,18,13235.0,3179.0,9942.0,45.0,,,5.0,3.0,2021/11/19,,,,,,,,,,,Eastern Cape,6.0,1.0,
162,,20,11984.0,2133.0,9646.0,40.0,,,10.0,8.0,2021/11/19,,,,,,,,,,,Free State,3.0,1.0,
163,,94,72410.0,13781.0,57681.0,464.0,,,74.0,25.0,2021/11/19,,,,,,,,,,,Gauteng,44.0,6.0,
164,,47,37418.0,6899.0,29907.0,216.0,,,45.0,17.0,2021/11/19,,,,,,,,,,,KwaZulu-Natal,43.0,2.0,
165,,7,7629.0,1639.0,5847.0,8.0,,,0.0,0.0,2021/11/19,,,,,,,,,,,Limpopo,1.0,1.0,
166,,9,9577.0,1594.0,7890.0,11.0,,,3.0,1.0,2021/11/19,,,,,,,,,,,Mpumalanga,0.0,2.0,
167,,13,10846.0,1609.0,8766.0,42.0,,,7.0,5.0,2021/11/19,,,,,,,,,,,North West,8.0,0.0,
168,,6,4725.0,794.0,3704.0,7.0,,,5.0,4.0,2021/11/19,,,,,,,,,,,Northern Cape,0.0,0.0,
169,,44,32993.0,5698.0,26580.0,582.0,,,102.0,45.0,2021/11/19,,,,,,,,,,,Western Cape,27.0,1.0,
170,,258,200817.0,37326.0,159963.0,1415.0,,,251.0,108.0,2021/11/19,,,,,,,,,,,Total,132.0,14.0,
171,,18,13230.0,3178.0,9946.0,38.0,5.0,3.0,6.0,0.0,2021/11/20,,,,,,,,,,,,,,
172,,20,11978.0,2134.0,9648.0,31.0,8.0,7.0,3.0,0.0,2021/11/20,,,,,,,,,,,,,,
173,,94,72298.0,13785.0,57717.0,317.0,54.0,19.0,43.0,3.0,2021/11/20,,,,,,,,,,,,,,
174,,47,37386.0,6900.0,29916.0,177.0,40.0,16.0,42.0,0.0,2021/11/20,,,,,,,,,,,,,,
175,,7,7627.0,1639.0,5848.0,5.0,0.0,0.0,1.0,0.0,2021/11/20,,,,,,,,,,,,,,
176,,9,9579.0,1594.0,7890.0,13.0,3.0,1.0,0.0,1.0,2021/11/20,,,,,,,,,,,,,,
177,,13,10845.0,1609.0,8768.0,39.0,6.0,4.0,8.0,1.0,2021/11/20,,,,,,,,,,,,,,
178,,6,4725.0,794.0,3702.0,7.0,5.0,4.0,0.0,0.0,2021/11/20,,,,,,,,,,,,,,
