,Province,Facilities Reporting,Admissions to Date,Died to Date,Discharged to date,Currently Admitted,Currently in ICU,Currently Ventilated,Currently Oxygenated,Admissions in Previous Day,Date,Eastern Cape,18,13219,3175,9918,55,8,5,5.1,0,Unnamed: 0,Unnamed: 1,Unnamed: 2,Currently Admitted 
104,KwaZulu-Natal,47,37451.0,6882.0,29831.0,337.0,67.0,27.0,48.0,1.0,2021/11/13,,,,,,,,,,,,,,
105,Limpopo,7,7635.0,1639.0,5836.0,24.0,1.0,0.0,1.0,0.0,2021/11/13,,,,,,,,,,,,,,
106,Mpumalanga,9,9564.0,1593.0,7872.0,17.0,2.0,1.0,0.0,0.0,2021/11/13,,,,,,,,,,,,,,
107,North West,13,10838.0,1606.0,8749.0,54.0,8.0,6.0,8.0,0.0,2021/11/13,,,,,,,,,,,,,,
108,Northern Cape,6,4713.0,794.0,3692.0,11.0,6.0,5.0,1.0,0.0,2021/11/13,,,,,,,,,,,,,,
109,Western Cape,44,32994.0,5689.0,26522.0,641.0,113.0,51.0,28.0,0.0,2021/11/13,,,,,,,,,,,,,,
110,,,,,,,,,,,2021/11/14,Free State,20.0,11973.0,2129.0,9620.0,54.0,15.0,7.0,8.0,0.0,,,,
111,,,,,,,,,,,2021/11/14,Gauteng,94.0,72675.0,13769.0,57374.0,934.0,144.0,33.0,50.0,1.0,,,,
112,,,,,,,,,,,2021/11/14,KwaZulu-Natal,47.0,37453.0,6883.0,29832.0,337.0,68.0,27.0,48.0,0.0,,,,
113,,,,,,,,,,,2021/11/14,Limpopo,7.0,7636.0,1639.0,5836.0,25.0,1.0,0.0,1.0,0.0,,,,
114,,,,,,,,,,,2021/11/14,Mpumalanga,9.0,9566.0,1593.0,7878.0,13.0,2.0,1.0,0.0,0.0,,,,
